State,Year,Teachers,Students
Nevada,1984,7496,151633
New Hampshire,1984,10065,158614
New Jersey,1984,73774,1129223
New Mexico,1984,14538,272478
New York,1984,163044,2645811
North Carolina,1984,56084,1088724
North Dakota,1984,7794,118711
Ohio,1984,98061,1805440
Oklahoma,1984,34894,589690
Oregon,1984,24444,446884
Pennsylvania,1984,101484,1701880
Rhode Island,1984,8752,134610
South Carolina,1984,33764,602718
South Dakota,1984,8579,123314
Tennessee,1984,39636,817212
Texas,1984,172865,3040305
Utah,1984,15821,390141
Vermont,1984,6327,90089
Virginia,1984,57498,965222
Washington,1984,35706,741177
West Virginia,1984,22732,362941
Wisconsin,1984,47082,767542
Wyoming,1984,7191,101261
Alabama,1985,36138,730460
Alaska,1985,6814,107345
Arizona,1985,27935,548252
Arkansas,1985,24767,433410
California,1985,184151,4255554
Colorado,1985,29894,550642
Connecticut,1985,32903,462026
Delaware,1985,5745,92901
District of Columbia,1985,6137,87092
Florida,1985,88973,1562283
Georgia,1985,57374,1079594
Hawaii,1985,7276,164169
Idaho,1985,10255,208669
Illinois,1985,102657,1826478
Indiana,1985,51976,966106
Iowa,1985,31770,485332
Kansas,1985,26686,410229
Kentucky,1985,33506,643833
Louisiana,1985,42609,788349
Maine,1985,14226,206101
Maryland,1985,38433,671560
Massachusetts,1985,56845,844330
Michigan,1985,82193,1602747
Minnesota,1985,41314,705140
Mississippi,1985,26102,471195
Missouri,1985,48170,795107
Montana,1985,9705,153869
Nebraska,1985,17687,265819
Nevada,1985,7751,154948
New Hampshire,1985,10104,160974
New Jersey,1985,74236,1116194
New Mexico,1985,14781,277551
New York,1985,165573,2621378
North Carolina,1985,57638,1086165
North Dakota,1985,7796,118570
Ohio,1985,98264,1793965
Oklahoma,1985,35752,592327
Oregon,1985,24605,447527
Pennsylvania,1985,101665,1683221
Rhode Island,1985,8844,133949
South Carolina,1985,34645,606643
South Dakota,1985,8340,124291
Tennessee,1985,40023,813753
Texas,1985,181051,3131705
Utah,1985,16229,403305
Vermont,1985,6397,90157
Virginia,1985,57339,968104
Washington,1985,36202,749706
West Virginia,1985,22733,357923
Wisconsin,1985,46482,768234
Wyoming,1985,7296,102779
Alabama,1986,36971,733735
Alaska,1986,6448,107848
Arizona,1986,29104,534538
Arkansas,1986,24944,437438
California,1986,190484,4377989
Colorado,1986,30704,558415
Connecticut,1986,34252,468847
Delaware,1986,5883,94410
District of Columbia,1986,5984,85612
Florida,1986,91969,1607320
Georgia,1986,57881,1096425
Hawaii,1986,7291,164640
Idaho,1986,10234,208391
Illinois,1986,104609,1825185
Indiana,1986,52896,966780
Iowa,1986,30958,481286
Kansas,1986,27064,416091
Kentucky,1986,34507,642778
Louisiana,1986,42929,795188
Maine,1986,13685,211752
Maryland,1986,39491,675747
Massachusetts,1986,58066,833918
Michigan,1986,83130,1597154
Minnesota,1986,40957,711134
Mississippi,1986,26219,498639
Missouri,1986,48902,800606
Montana,1986,9818,153327
Nebraska,1986,17748,267139
Nevada,1986,7908,161239
New Hampshire,1986,10300,163717
New Jersey,1986,75558,1107467
New Mexico,1986,14876,281943
New York,1986,168940,2607719
North Carolina,1986,58103,1085248
North Dakota,1986,7779,118703
Ohio,1986,98894,1793508
Oklahoma,1986,35041,593183
Oregon,1986,24615,449307
Pennsylvania,1986,102993,1674161
Rhode Island,1986,8916,134690
South Carolina,1986,35349,611629
South Dakota,1986,8031,125458
Tennessee,1986,41103,818073
Texas,1986,186385,3209515
Utah,1986,16886,415994
Vermont,1986,6397,92112
Virginia,1986,58141,975135
Washington,1986,37065,761428
West Virginia,1986,22931,351837
Wisconsin,1986,47039,767819
Wyoming,1986,7201,100955
Alabama,1987,37716,729234
Alaska,1987,6113,106869
Arizona,1987,30707,572421
Arkansas,1987,25572,437036
California,1987,195864,4488398
Colorado,1987,31168,560236
Connecticut,1987,35050,465465
Delaware,1987,5951,95659
District of Columbia,1987,6232,86435
Florida,1987,95857,1664774
Georgia,1987,62280,1110947
Hawaii,1987,7684,166160
Idaho,1987,10258,212444
Illinois,1987,105217,1811446
Indiana,1987,53749,964129
Iowa,1987,30873,480826
Kansas,1987,27317,421112
Kentucky,1987,35239,642696
Louisiana,1987,42920,793093
Maine,1987,14204,211817
Maryland,1987,40093,683797
Massachusetts,1987,59517,825320
Michigan,1987,79972,1589287
Minnesota,1987,42132,721481
Mississippi,1987,26931,505550
Missouri,1987,49632,802060
Montana,1987,9659,152207
Nebraska,1987,17713,268100
Nevada,1987,8348,168353
New Hampshire,1987,10363,166045
New Jersey,1987,78335,1092982
New Mexico,1987,15175,287229
New York,1987,170236,2594070
North Carolina,1987,59771,1085976
North Dakota,1987,7632,119004
Ohio,1987,99708,1793431
Oklahoma,1987,34515,584212
Oregon,1987,24911,455895
Pennsylvania,1987,103307,1668542
Rhode Island,1987,8934,134800
South Carolina,1987,35701,614921
South Dakota,1987,8172,126817
Tennessee,1987,42082,823783
Texas,1987,187159,3236787
Utah,1987,17124,423386
Vermont,1987,6656,92755
Virginia,1987,59928,979417
Washington,1987,38344,775755
West Virginia,1987,22702,344236
Wisconsin,1987,47721,772363
Wyoming,1987,6798,98455
Alabama,1988,38845,724751
Alaska,1988,6272,106481
Arizona,1988,31617,574890
Arkansas,1988,27730,436387
California,1988,203342,4618120
Colorado,1988,31398,560081
Connecticut,1988,35502,460637
Delaware,1988,5898,96678
District of Columbia,1988,5936,84792
Florida,1988,100370,1720930
Georgia,1988,59916,1107994
Hawaii,1988,8737,167488
Idaho,1988,10425,214615
Illinois,1988,105097,1794916
Indiana,1988,54029,960994
Iowa,1988,30327,478200
Kansas,1988,28122,426596
Kentucky,1988,35788,637627
Louisiana,1988,43203,786683
Maine,1988,14593,212902
Maryland,1988,40899,688947
Massachusetts,1988,60068,823428
Michigan,1988,79847,1582785
Minnesota,1988,42750,726950
Mississippi,1988,27283,503326
Missouri,1988,50693,806639
Montana,1988,9626,152191
Nebraska,1988,18003,269434
Nevada,1988,8699,176474
New Hampshire,1988,10442,169413
New Jersey,1988,79698,1080871
